pdf_procedure_id,raw_name,source_page,source_text_snippet
tosp_sb818b,"BONE (UPPER LIMB), DEFORMITIES, CORRECTIVE SURGERY",14,"SB818B BONE (UPPER LIMB), DEFORMITIES, CORRECTIVE SURGERY"
tosp_sb818f,"FINGER, SWAN NECK/BOUTONNIERE DEFORMITY (SINGLE), CORRECTION",17,"SB818F FINGER, SWAN NECK/BOUTONNIERE DEFORMITY (SINGLE), CORRECTION"
tosp_sb818h,"HAND, SUPERFICIAL INFECTION, DRAINAGE",20,"SB818H HAND, SUPERFICIAL INFECTION, DRAINAGE"
tosp_sb818j,"JOINTS (OTHER THAN HAND AND WRIST), VARIOUS LESIONS, ARTHRODESIS",22,"SB818J JOINTS (OTHER THAN HAND AND WRIST), VARIOUS LESIONS, ARTHRODESIS"
tosp_sb818m,"MANDIBLE, VARIOUS LESIONS, MANDIBULAR RAMUS/BODY OSTECTOMY/OSTEOTOMY WITH SEGMENTAL OSTEOTOMY",26,"SB818M MANDIBLE, VARIOUS LESIONS, MANDIBULAR RAMUS/BODY OSTECTOMY/OSTEOTOMY WITH SEGMENTAL OSTEOTOMY"
tosp_sb818s,"SPINE, VARIOUS LESIONS, SPINAL RHIZOLYSIS INVOLVING EXPOSURE OF SPINAL NERVE ROOTS",30,"SB818S SPINE, VARIOUS LESIONS, SPINAL RHIZOLYSIS INVOLVING EXPOSURE OF SPINAL NERVE ROOTS"
tosp_sb818t,"TENDON-FLEXOR (UPPER LIMB), DEFECT, GRAFTING (SINGLE)",31,"SB818T TENDON-FLEXOR (UPPER LIMB), DEFECT, GRAFTING (SINGLE)"
tosp_sb819b,"BONE AND JOINTS (UPPER LIMB), DEFORMITIES, OSTEOTOMIES AND FIXATION WITH OR WITHOUT FLUOROSCOPY/BONE GRAFT",14,"SB819B BONE AND JOINTS (UPPER LIMB), DEFORMITIES, OSTEOTOMIES AND FIXATION WITH OR WITHOUT FLUOROSCOPY/BONE GRAFT"
tosp_sb819f,"FINGER, SYNDACTYLY (MULTIPLE), SEPARATION",18,"SB819F FINGER, SYNDACTYLY (MULTIPLE), SEPARATION"
tosp_sb819h,"HAND, TUMORS, EXCISION WITH DISSECTION OF NEUROVASCULAR BUNDLE",20,"SB819H HAND, TUMORS, EXCISION WITH DISSECTION OF NEUROVASCULAR BUNDLE"
tosp_sb819j,"JOINTS (WRIST, DISTAL RADIOULNAR JOINT), SYNOVITIS, SYNOVECTOMY",22,"SB819J JOINTS (WRIST, DISTAL RADIOULNAR JOINT), SYNOVITIS, SYNOVECTOMY"
tosp_sb819m,"MANDIBLE, VARIOUS LESIONS, MANDIBULAR RAMUS/BODY OSTECTOMY/OSTEOTOMY WITHOUT SEGMENTAL OSTEOTOMY",26,"SB819M MANDIBLE, VARIOUS LESIONS, MANDIBULAR RAMUS/BODY OSTECTOMY/OSTEOTOMY WITHOUT SEGMENTAL OSTEOTOMY"
tosp_sb819s,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS - INTERBODY FUSION (THREE OR MORE SEGMENTS) WITHOUT ANTERIOR/POSTERIOR INSTRUMENTATION",30,"SB819S SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS - INTERBODY FUSION (THREE OR MORE SEGMENTS) WITHOUT ANTERIOR/POSTERIOR INSTRUMENTATION"
tosp_sb819t,"TENDON-FLEXOR (UPPER LIMB), INJURY, REPAIR (MULTIPLE)",31,"SB819T TENDON-FLEXOR (UPPER LIMB), INJURY, REPAIR (MULTIPLE)"
tosp_sb820b,"BONE (UPPER/LOWER LIMB), EXOSTOSIS, EXCISION BIOPSY (SINGLE)",14,"SB820B BONE (UPPER/LOWER LIMB), EXOSTOSIS, EXCISION BIOPSY (SINGLE)"
tosp_sb820f,"FINGER, SYNDACTYLY (SINGLE), CORRECTION",18,"SB820F FINGER, SYNDACTYLY (SINGLE), CORRECTION"
tosp_sb820h,"HAND, WART/CORN/NAEVUS, EXCISION",20,"SB820H HAND, WART/CORN/NAEVUS, EXCISION"
tosp_sb820j,"JOINTS (TEMPORO-MANDIBULAR), DISLOCATION, REDUCTION WITHOUT GENERAL ANAESTHESIA",22,"SB820J JOINTS (TEMPORO-MANDIBULAR), DISLOCATION, REDUCTION WITHOUT GENERAL ANAESTHESIA"
tosp_sb820m,"MANDIBLE, VARIOUS LESIONS, RECONSTRUCTION WITH BONE",26,"SB820M MANDIBLE, VARIOUS LESIONS, RECONSTRUCTION WITH BONE"
tosp_sb820t,"TENDON-FLEXOR (UPPER LIMB), INJURY, REPAIR (SINGLE)",31,"SB820T TENDON-FLEXOR (UPPER LIMB), INJURY, REPAIR (SINGLE)"
tosp_sb821b,"BONE (UPPER LIMB), FRACTURE/DISLOCATION/SPRAIN, FULL CAST",14,"SB821B BONE (UPPER LIMB), FRACTURE/DISLOCATION/SPRAIN, FULL CAST"
tosp_sb821f,"FINGER, TRAUMA, REPLANTATION (MULTIPLE)",18,"SB821F FINGER, TRAUMA, REPLANTATION (MULTIPLE)"
tosp_sb821h,"HEAD, VARIOUS LESIONS, CRANIOFACIAL RESECTION AND RECONSTRUCTION",20,"SB821H HEAD, VARIOUS LESIONS, CRANIOFACIAL RESECTION AND RECONSTRUCTION"
tosp_sb821j,"JOINTS (TEMPORO-MANDIBULAR), DISLOCATION, REDUCTION UNDER GENERAL ANAESTHESIA",22,"SB821J JOINTS (TEMPORO-MANDIBULAR), DISLOCATION, REDUCTION UNDER GENERAL ANAESTHESIA"
tosp_sb821m,"MANDIBLE, VARIOUS LESIONS, SEGMENTAL OSTECTOMY/OSTEOTOMY (ONE SEGMENT ONLY)",26,"SB821M MANDIBLE, VARIOUS LESIONS, SEGMENTAL OSTECTOMY/OSTEOTOMY (ONE SEGMENT ONLY)"
tosp_sb821t,"TENDON-FLEXOR (UPPER LIMB), INJURY, TENDON GRAFT",31,"SB821T TENDON-FLEXOR (UPPER LIMB), INJURY, TENDON GRAFT"
tosp_sb822b,"BONE (UPPER LIMB), GRADE 1 AND 2 OPEN FRACTURES/OPEN DISLOCATION OR OPEN FRACTURE- DISLOCATION, WOUND DEBRIDEMENT",14,"SB822B BONE (UPPER LIMB), GRADE 1 AND 2 OPEN FRACTURES/OPEN DISLOCATION OR OPEN FRACTURE- DISLOCATION, WOUND DEBRIDEMENT"
tosp_sb822f,"FINGER, TRAUMA, REPLANTATION/TRANSPLANTATION (SINGLE)",18,"SB822F FINGER, TRAUMA, REPLANTATION/TRANSPLANTATION (SINGLE)"
tosp_sb822h,"HEAD-FACE, SOFT TISSUE TUMORS (SMALL), EXCISION",20,"SB822H HEAD-FACE, SOFT TISSUE TUMORS (SMALL), EXCISION"
tosp_sb822j,"JOINTS (TEMPORO-MANDIBULAR), VARIOUS LESIONS, CONDYLECTOMY WITH RECONSTRUCTION (UNILATERAL)",22,"SB822J JOINTS (TEMPORO-MANDIBULAR), VARIOUS LESIONS, CONDYLECTOMY WITH RECONSTRUCTION (UNILATERAL)"
tosp_sb822m,"MANDIBLE, VARIOUS LESIONS, SEGMENTAL RESECTION WITH BONE GRAFT",26,"SB822M MANDIBLE, VARIOUS LESIONS, SEGMENTAL RESECTION WITH BONE GRAFT"
tosp_sb822t,"TENDONS-FLEXOR (LOWER LIMB), DISRUPTION, REPAIR (MULTIPLE)",31,"SB822T TENDONS-FLEXOR (LOWER LIMB), DISRUPTION, REPAIR (MULTIPLE)"
tosp_sb823b,"BONE (UPPER LIMB), OSTEOMYELITIS, EXTENSIVE CURETTAGE/DEBRIDEMENT AND IRRIGATION",15,"SB823B BONE (UPPER LIMB), OSTEOMYELITIS, EXTENSIVE CURETTAGE/DEBRIDEMENT AND IRRIGATION"
tosp_sb823f,"FINGER, TRAUMA, TERMINALISATION (MULTIPLE)",18,"SB823F FINGER, TRAUMA, TERMINALISATION (MULTIPLE)"
tosp_sb823h,"HEAD-FACE, TRAUMA, CRANIOFACIAL APPROACH REDUCTION AND FIXATION",20,"SB823H HEAD-FACE, TRAUMA, CRANIOFACIAL APPROACH REDUCTION AND FIXATION"
tosp_sb823j,"JOINTS (TEMPORO-MANDIBULAR), VARIOUS LESIONS, RECONSTRUCTION (UNILATERAL)",22,"SB823J JOINTS (TEMPORO-MANDIBULAR), VARIOUS LESIONS, RECONSTRUCTION (UNILATERAL)"
tosp_sb823m,"MANDIBLE, VARIOUS LESIONS, GENIOPLASTY (SIMPLE - NOT AS A COMBINED PROCEDURE)",26,"SB823M MANDIBLE, VARIOUS LESIONS, GENIOPLASTY (SIMPLE - NOT AS A COMBINED PROCEDURE)"
tosp_sb823t,"THUMB, DEFORMITIES, CORRECTION",31,"SB823T THUMB, DEFORMITIES, CORRECTION"
tosp_sb824b,"BONE (UPPER LIMB), OSTEOMYELITIS SIMPLE DRAINAGE",15,"SB824B BONE (UPPER LIMB), OSTEOMYELITIS SIMPLE DRAINAGE"
tosp_sb824f,"FINGER, TRAUMA, TERMINALISATION (SINGLE)",18,"SB824F FINGER, TRAUMA, TERMINALISATION (SINGLE)"
tosp_sb824h,"HEAD-FACE, TRAUMA, CRANIOFACIAL APPROACH REDUCTION AND FIXATION WITH BONE GRAFT",20,"SB824H HEAD-FACE, TRAUMA, CRANIOFACIAL APPROACH REDUCTION AND FIXATION WITH BONE GRAFT"
tosp_sb824j,"JOINTS (TEMPORO-MANDIBULAR), VARIOUS LESIONS, PLICATION OF DISC",22,"SB824J JOINTS (TEMPORO-MANDIBULAR), VARIOUS LESIONS, PLICATION OF DISC"
tosp_sb824m,"MAXILLA (EXCLUDING ALVEOLAR MARGINS) AND/OR ZYGOMA, VARIOUS LESIONS, COMPLEX OSTECTOMY/OSTEOTOMY",26,"SB824M MAXILLA (EXCLUDING ALVEOLAR MARGINS) AND/OR ZYGOMA, VARIOUS LESIONS, COMPLEX OSTECTOMY/OSTEOTOMY"
tosp_sb824t,"THUMB, PARALYSIS, OPPONENS PLASTY",31,"SB824T THUMB, PARALYSIS, OPPONENS PLASTY"
tosp_sb825b,"BONE AND JOINTS (UPPER LIMB), PLATES AND SCREWS, REMOVAL",15,"SB825B BONE AND JOINTS (UPPER LIMB), PLATES AND SCREWS, REMOVAL"
tosp_sb825f,"FINGER, VARIOUS LESIONS, AMPUTATION (MULTIPLE)",18,"SB825F FINGER, VARIOUS LESIONS, AMPUTATION (MULTIPLE)"
tosp_sb825h,"HEAD-FACE, VARIOUS LESIONS, MAJOR CORRECTIVE SURGERY",20,"SB825H HEAD-FACE, VARIOUS LESIONS, MAJOR CORRECTIVE SURGERY"
tosp_sb825j,"JOINTS (UPPER LIMB), CONTRACTURE, CAPSULECTOMY/CAPSULOTOMY (MULTIPLE)",22,"SB825J JOINTS (UPPER LIMB), CONTRACTURE, CAPSULECTOMY/CAPSULOTOMY (MULTIPLE)"
tosp_sb825m,"MAXILLA, ALVEOLAR CLEFT (BILATERAL COMPLETE), BONE GRAFT AND CLOSURE OF NASO BUCCAL FISTULA",26,"SB825M MAXILLA, ALVEOLAR CLEFT (BILATERAL COMPLETE), BONE GRAFT AND CLOSURE OF NASO BUCCAL FISTULA"
tosp_sb825t,"THUMB, VARIOUS LESIONS, POLLICISATION OR MICROSURGICAL RECONSTRUCTION",32,"SB825T THUMB, VARIOUS LESIONS, POLLICISATION OR MICROSURGICAL RECONSTRUCTION"
tosp_sb826b,"BONE AND JOINTS (UPPER LIMB), REMOVAL OF SIMPLE IMPLANTS (E.G. RUSH RODS/WIRES/K- WIRES/PINS/SCREWS)",15,"SB826B BONE AND JOINTS (UPPER LIMB), REMOVAL OF SIMPLE IMPLANTS (E.G. RUSH RODS/WIRES/K- WIRES/PINS/SCREWS)"
tosp_sb826f,"FINGER, VARIOUS LESIONS, AMPUTATION (SINGLE)",18,"SB826F FINGER, VARIOUS LESIONS, AMPUTATION (SINGLE)"
tosp_sb826h,"HIP, AVASCULAR NECROSIS, CORE DECOMPRESSION",20,"SB826H HIP, AVASCULAR NECROSIS, CORE DECOMPRESSION"
tosp_sb826j,"JOINTS (UPPER LIMB), DEFORMITIES/CONTRACTURE, CORRECTIVE SURGERY",22,"SB826J JOINTS (UPPER LIMB), DEFORMITIES/CONTRACTURE, CORRECTIVE SURGERY"
tosp_sb826m,"MAXILLA, BILATERAL INCOMPLETE ALVEOLAR CLEFT, BONE GRAFT",26,"SB826M MAXILLA, BILATERAL INCOMPLETE ALVEOLAR CLEFT, BONE GRAFT"
tosp_sb826t,"TIBIA, DELAYED/NON-UNION, RECONSTRUCTION",32,"SB826T TIBIA, DELAYED/NON-UNION, RECONSTRUCTION"
tosp_sb827b,"BONE (UPPER LIMB), TUMOR (BENIGN), MAJOR EXCISION <3 CM WITH BONE GRAFTING +/- RECONSTRUCTION/INTERNAL FIXATION",15,"SB827B BONE (UPPER LIMB), TUMOR (BENIGN), MAJOR EXCISION <3 CM WITH BONE GRAFTING +/- RECONSTRUCTION/INTERNAL FIXATION"
tosp_sb827f,"HAND, FREE TOE PULP TRANSFER",18,"SB827F HAND, FREE TOE PULP TRANSFER"
tosp_sb827h,"HIP, AVASCULAR NECROSIS, CORE DECOMPRESSION WITH GRAFTING/BONE SUBSTITUTE/BONE CEMENT",20,"SB827H HIP, AVASCULAR NECROSIS, CORE DECOMPRESSION WITH GRAFTING/BONE SUBSTITUTE/BONE CEMENT"
tosp_sb827m,"MAXILLA, DEFORMITY - LEFORT I, OSTEOTOMY",26,"SB827M MAXILLA, DEFORMITY - LEFORT I, OSTEOTOMY"
tosp_sb827t,"TIBIA, FRACTURE(S), OPEN REDUCTION AND INTERNAL FIXATION WITH INTRAMEDULLARY ROD",32,"SB827T TIBIA, FRACTURE(S), OPEN REDUCTION AND INTERNAL FIXATION WITH INTRAMEDULLARY ROD"
tosp_sb828b,"BONE (UPPER LIMB), TUMOR (MALIGNANT), RADICAL EXCISION WITH RECONSTRUCTION/INTERNAL FIXATION",15,"SB828B BONE (UPPER LIMB), TUMOR (MALIGNANT), RADICAL EXCISION WITH RECONSTRUCTION/INTERNAL FIXATION"
tosp_sb828f,"FINGER, VARIOUS LESIONS, RAY AMPUTATION (SINGLE)",18,"SB828F FINGER, VARIOUS LESIONS, RAY AMPUTATION (SINGLE)"
tosp_sb828h,"HIP, CONGENITAL DISLOCATION, OPEN REDUCTION",20,"SB828H HIP, CONGENITAL DISLOCATION, OPEN REDUCTION"
tosp_sb828j,"JOINTS (UPPER LIMB), FRACTURES/DISLOCATION/SPRAIN, FULL CAST",22,"SB828J JOINTS (UPPER LIMB), FRACTURES/DISLOCATION/SPRAIN, FULL CAST"
tosp_sb828m,"MAXILLA, DEFORMITY - LEFORT II, OSTEOTOMY",26,"SB828M MAXILLA, DEFORMITY - LEFORT II, OSTEOTOMY"
tosp_sb828t,"TIBIA, FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION WITH PLATES AND SCREWS, SIMPLE",32,"SB828T TIBIA, FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION WITH PLATES AND SCREWS, SIMPLE"
tosp_sb829b,"BONE (UPPER LIMB), TUMOUR (MALIGNANT), WIDE EXCISION WITH RECONSTRUCTION/INTERNAL FIXATION",15,"SB829B BONE (UPPER LIMB), TUMOUR (MALIGNANT), WIDE EXCISION WITH RECONSTRUCTION/INTERNAL FIXATION"
tosp_sb829f,"FINGER, VARIOUS LESIONS, SYNOVECTOMY WITH SOFT TISSUE RECONSTRUCTION",18,"SB829F FINGER, VARIOUS LESIONS, SYNOVECTOMY WITH SOFT TISSUE RECONSTRUCTION"
tosp_sb829h,"HIP, CONGENITAL DISLOCATION, OPEN REDUCTION INCLUDING RECONSTRUCTION",20,"SB829H HIP, CONGENITAL DISLOCATION, OPEN REDUCTION INCLUDING RECONSTRUCTION"
tosp_sb829m,"MAXILLA, DEFORMITY - LEFORT III, OSTEOTOMY",26,"SB829M MAXILLA, DEFORMITY - LEFORT III, OSTEOTOMY"
tosp_sb829t,"TOES, VARIOUS LESIONS, TOE AMPUTATION (TWO TO FOUR TOES)",32,"SB829T TOES, VARIOUS LESIONS, TOE AMPUTATION (TWO TO FOUR TOES)"
tosp_sb830b,"BONE (UPPER/LOWER LIMB), VARIOUS LESIONS, BONE LOSS, BONE TRANSFER",15,"SB830B BONE (UPPER/LOWER LIMB), VARIOUS LESIONS, BONE LOSS, BONE TRANSFER"
tosp_sb830f,"FOOT, CRUSH INJURIES (COMPLEX), WOUND DEBRIDEMENT",18,"SB830F FOOT, CRUSH INJURIES (COMPLEX), WOUND DEBRIDEMENT"
tosp_sb830h,"HIP, DISLOCATION, MANIPULATION AND REDUCTION",20,"SB830H HIP, DISLOCATION, MANIPULATION AND REDUCTION"
tosp_sb830m,"MAXILLA, FRACTURE - LEFORT I, CLOSED REDUCTION AND FIXATION",26,"SB830M MAXILLA, FRACTURE - LEFORT I, CLOSED REDUCTION AND FIXATION"
tosp_sb830t,"TOES, VARIOUS LESIONS, TOE AMPUTATION (SINGLE)",32,"SB830T TOES, VARIOUS LESIONS, TOE AMPUTATION (SINGLE)"
tosp_sb831b,"BONE, TUMOR (MALIGNANT), WIDE/MAJOR RESECTION AND RECONSTRUCTION (NON VASCULARISED BONE GRAFT)",15,"SB831B BONE, TUMOR (MALIGNANT), WIDE/MAJOR RESECTION AND RECONSTRUCTION (NON VASCULARISED BONE GRAFT)"
tosp_sb831f,"FOOT, CRUSH INJURIES (SIMPLE), WOUND DEBRIDEMENT",18,"SB831F FOOT, CRUSH INJURIES (SIMPLE), WOUND DEBRIDEMENT"
tosp_sb831h,"HIP, DISLOCATION, OPEN REDUCTION",20,"SB831H HIP, DISLOCATION, OPEN REDUCTION"
tosp_sb831j,"JOINTS (UPPER LIMB, EXCEPT SHOULDER), SEPTIC ARTHRITIS, DRAINAGE WITH CURRETAGE AND DEBRIDEMENT",22,"SB831J JOINTS (UPPER LIMB, EXCEPT SHOULDER), SEPTIC ARTHRITIS, DRAINAGE WITH CURRETAGE AND DEBRIDEMENT"
tosp_sb831m,"MAXILLA, FRACTURE - LEFORT I, OPEN REDUCTION AND FIXATION",26,"SB831M MAXILLA, FRACTURE - LEFORT I, OPEN REDUCTION AND FIXATION"
tosp_sb831t,"TOES, VARIOUS LESIONS, ARTHRODESIS",32,"SB831T TOES, VARIOUS LESIONS, ARTHRODESIS"
tosp_sb832b,"BONE, VARIOUS LESIONS, BIOPSY",15,"SB832B BONE, VARIOUS LESIONS, BIOPSY"
tosp_sb832f,"FOOT, HALLUX VALGUS/HAMMER TOE, SOFT TISSUE RECONSTRUCTION",18,"SB832F FOOT, HALLUX VALGUS/HAMMER TOE, SOFT TISSUE RECONSTRUCTION"
tosp_sb832h,"HIP, SNAPPING SYNDROME, RELEASE",20,"SB832H HIP, SNAPPING SYNDROME, RELEASE"
tosp_sb832j,"JOINTS (UPPER LIMB, EXCEPT SHOULDER), SEPTIC ARTHRITIS, SIMPLE DRAINAGE",22,"SB832J JOINTS (UPPER LIMB, EXCEPT SHOULDER), SEPTIC ARTHRITIS, SIMPLE DRAINAGE"
tosp_sb832m,"MAXILLA, FRACTURE - LEFORT II / III, CLOSED REDUCTION AND FIXATION.",26,"SB832M MAXILLA, FRACTURE - LEFORT II / III, CLOSED REDUCTION AND FIXATION."
tosp_sb832t,"TENDON, EXTENSOR (UPPER LIMB), DEFECT, GRAFTING (MULTIPLE)",32,"SB832T TENDON, EXTENSOR (UPPER LIMB), DEFECT, GRAFTING (MULTIPLE)"
tosp_sb833b,"BONE (UPPER LIMB/LOWER LIMB), VARIOUS LESIONS, VASCULARISED BONE TRANSFER",15,"SB833B BONE (UPPER LIMB/LOWER LIMB), VARIOUS LESIONS, VASCULARISED BONE TRANSFER"
tosp_sb833f,"FOOT, POLYDACTYLY, EXCISION",18,"SB833F FOOT, POLYDACTYLY, EXCISION"
tosp_sb833h,"HIP, VARIOUS LESIONS, APPLICATION OF HIP SPICAS",20,"SB833H HIP, VARIOUS LESIONS, APPLICATION OF HIP SPICAS"
tosp_sb833m,"MAXILLA DEFORMITY, LE FORT II OSTEOTOMY AND INSERTION OF DISTRACTION OSTEOGENESIS DEVICE",26,"SB833M MAXILLA DEFORMITY, LE FORT II OSTEOTOMY AND INSERTION OF DISTRACTION OSTEOGENESIS DEVICE"
tosp_sb833t,"TENDON, EXTENSOR (UPPER LIMB), DEFECT, GRAFTING (SINGLE)",32,"SB833T TENDON, EXTENSOR (UPPER LIMB), DEFECT, GRAFTING (SINGLE)"
tosp_sb834b,"BURSA, BURSITIS, EXCISION BIOPSY (SINGLE)",15,"SB834B BURSA, BURSITIS, EXCISION BIOPSY (SINGLE)"
tosp_sb834f,"FOOT, POLYDACTYLY, EXCISION WITH RECONSTRUCTION",18,"SB834F FOOT, POLYDACTYLY, EXCISION WITH RECONSTRUCTION"
tosp_sb834h,"HIP, VARIOUS LESIONS, ARTHRODESIS",20,"SB834H HIP, VARIOUS LESIONS, ARTHRODESIS"
tosp_sb834j,"JOINTS (UPPER LIMB), VARIOUS LESIONS, VASCULARISED JOINT TRANSFER",23,"SB834J JOINTS (UPPER LIMB), VARIOUS LESIONS, VASCULARISED JOINT TRANSFER"
tosp_sb834m,"MAXILLA, FRACTURE - LEFORT II (COMPLEX), OPEN REDUCTION AND FIXATION.",26,"SB834M MAXILLA, FRACTURE - LEFORT II (COMPLEX), OPEN REDUCTION AND FIXATION."
tosp_sb834t,"WEDGE RESECTION OF TOE NAIL (SINGLE TOE), MEDIAL AND/OR LATERAL, SIMPLE OR COMPLEX",32,"SB834T WEDGE RESECTION OF TOE NAIL (SINGLE TOE), MEDIAL AND/OR LATERAL, SIMPLE OR COMPLEX"
tosp_sb835f,"FOOT, VARIOUS LESIONS, OSTEOTOMY, WITH OR WITHOUT TENDON RECONSTRUCTION",18,"SB835F FOOT, VARIOUS LESIONS, OSTEOTOMY, WITH OR WITHOUT TENDON RECONSTRUCTION"
tosp_sb835h,"HIP, VARIOUS LESIONS, ARTHROTOMY",20,"SB835H HIP, VARIOUS LESIONS, ARTHROTOMY"
tosp_sb835j,"JOINTS (WRIST), VARIOUS LESIONS, ARTHRODESIS",23,"SB835J JOINTS (WRIST), VARIOUS LESIONS, ARTHRODESIS"
tosp_sb835m,"MAXILLA DEFORMITY, LE FORT III OSTEOTOMY AND INSERTION OF DISTRACTION OSTEOGENESIS DEVICE",26,"SB835M MAXILLA DEFORMITY, LE FORT III OSTEOTOMY AND INSERTION OF DISTRACTION OSTEOGENESIS DEVICE"
tosp_sb835t,"WEDGE RESECTION OF TOE NAIL (MULTIPLE TOES), MEDIAL AND/OR LATERAL, SIMPLE OR COMPLEX",32,"SB835T WEDGE RESECTION OF TOE NAIL (MULTIPLE TOES), MEDIAL AND/OR LATERAL, SIMPLE OR COMPLEX"
tosp_sb836f,"FOOT, VARIOUS LESIONS, MORE THAN ONE JOINT, ARTHRODESIS",18,"SB836F FOOT, VARIOUS LESIONS, MORE THAN ONE JOINT, ARTHRODESIS"
tosp_sb836h,"HIP, VARIOUS LESIONS, ARTHROTOMY AND SYNOVECTOMY",20,"SB836H HIP, VARIOUS LESIONS, ARTHROTOMY AND SYNOVECTOMY"
tosp_sb836m,"MAXILLA, FRACTURE - LEFORT III, OPEN REDUCTION AND FIXATION",26,"SB836M MAXILLA, FRACTURE - LEFORT III, OPEN REDUCTION AND FIXATION"
tosp_sb836t,"TENDON (LOWER LIMB), VARIOUS LESIONS, TENDON TRANSFER (SINGLE",32,"SB836T TENDON (LOWER LIMB), VARIOUS LESIONS, TENDON TRANSFER (SINGLE"
tosp_sb837f,"FINGER, MACRODACTYLY, SURGICAL REDUCTION OF ENLARGED ELEMENTS, SINGLE DIGIT",18,"SB837F FINGER, MACRODACTYLY, SURGICAL REDUCTION OF ENLARGED ELEMENTS, SINGLE DIGIT"
tosp_sb837h,"HIP, VARIOUS LESIONS, EXCISION/INTERPOSITION ARTHROPLASTY",20,"SB837H HIP, VARIOUS LESIONS, EXCISION/INTERPOSITION ARTHROPLASTY"
tosp_sb837m,"MAXILLA, FRACTURE - LEFORT III, OPEN REDUCTION AND FIXATION USING CRANIOFACIAL APPROACH",26,"SB837M MAXILLA, FRACTURE - LEFORT III, OPEN REDUCTION AND FIXATION USING CRANIOFACIAL APPROACH"
tosp_sb837t,"TENDON (LOWER LIMB), CONTRACTURE TENOTOMY, WITH/WITHOUT CAST APPLICATION",32,"SB837T TENDON (LOWER LIMB), CONTRACTURE TENOTOMY, WITH/WITHOUT CAST APPLICATION"
tosp_sb838f,"FINGER, MACRODACTYLY, SURGICAL REDUCTION OF ENLARGED ELEMENTS, MULTIPLE DIGITS",18,"SB838F FINGER, MACRODACTYLY, SURGICAL REDUCTION OF ENLARGED ELEMENTS, MULTIPLE DIGITS"
tosp_sb838h,"HIP, VARIOUS LESIONS, HEMI-ARTHROPLASTY",20,"SB838H HIP, VARIOUS LESIONS, HEMI-ARTHROPLASTY"
tosp_sb838m,"MAXILLA, ALVEOLAR CLEFT (UNILATERAL COMPLETE), BONE GRAFT AND CLOSURE OF NASO BUCCAL FISTULA",26,"SB838M MAXILLA, ALVEOLAR CLEFT (UNILATERAL COMPLETE), BONE GRAFT AND CLOSURE OF NASO BUCCAL FISTULA"
tosp_sb839h,"HIP, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT",20,"SB839H HIP, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT"
tosp_sb839m,"MAXILLA, ALVEOLAR CLEFT (UNILATERAL INCOMPLETE), BONE GRAFT",26,"SB839M MAXILLA, ALVEOLAR CLEFT (UNILATERAL INCOMPLETE), BONE GRAFT"
tosp_sb840h,"HUMERUS, DELAYED/NON-UNION, RECONSTRUCTION WITH INTERNAL FIXATION AND BONE GRAFTING",20,"SB840H HUMERUS, DELAYED/NON-UNION, RECONSTRUCTION WITH INTERNAL FIXATION AND BONE GRAFTING"
tosp_sb840m,"MAXILLA, VARIOUS LESIONS, OSTECTOMY/OSTEOTOMY (MORE THAN 1 SEGMENT)",26,"SB840M MAXILLA, VARIOUS LESIONS, OSTECTOMY/OSTEOTOMY (MORE THAN 1 SEGMENT)"
tosp_sb841h,"HUMERUS, PROXIMAL /MID-SHAFT/SUPRACONDYLAR FRACTURE, PLATE FIXATION",21,"SB841H HUMERUS, PROXIMAL /MID-SHAFT/SUPRACONDYLAR FRACTURE, PLATE FIXATION"
tosp_sb841m,"MAXILLA, VARIOUS LESIONS, RESECTION/HEMIMAXILLECTOMY",27,"SB841M MAXILLA, VARIOUS LESIONS, RESECTION/HEMIMAXILLECTOMY"
tosp_sb842h,HUMERUS SUPRACONDYLAR AND INTERCONDYLAR FRACTURE,21,SB842H HUMERUS SUPRACONDYLAR AND INTERCONDYLAR FRACTURE
tosp_sb842m,"MAXILLA, VARIOUS LESIONS, OSTECTOMY/OSTEOTOMY (ONE SEGMENT ONLY)",27,"SB842M MAXILLA, VARIOUS LESIONS, OSTECTOMY/OSTEOTOMY (ONE SEGMENT ONLY)"
tosp_sb843h,"HIP, LABRAL DEBRIDEMENT",21,"SB843H HIP, LABRAL DEBRIDEMENT"
tosp_sb843m,"MUSCLE (LOWER LIMB), DEEP ABSCESS, DRAINAGE",27,"SB843M MUSCLE (LOWER LIMB), DEEP ABSCESS, DRAINAGE"
tosp_sb844h,"HIP, LABRAL DEBRIDEMENT AND REPAIR, WITH/ WITHOUT FAI RESECTION, CAPSULAR, OSTEOPLASTY AND CARTILAGE PROCEDURES",21,"SB844H HIP, LABRAL DEBRIDEMENT AND REPAIR, WITH/ WITHOUT FAI RESECTION, CAPSULAR, OSTEOPLASTY AND CARTILAGE PROCEDURES"
tosp_sb844m,"MUSCLE (LOWER LIMB), RUPTURE, REPAIR",27,"SB844M MUSCLE (LOWER LIMB), RUPTURE, REPAIR"
